,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,A.4_Expected Annual Damage 0,A.4_Expected Number of Deaths 0,A.4_Expected Annual Damage 1,A.4_Expected Number of Deaths 1,A.4_Expected Annual Damage 2,A.4_Expected Number of Deaths 2,A.4_Expected Annual Damage 3,A.4_Expected Number of Deaths 3,Total Expected Annual Damage,Total Expected Number of Deaths
138,48.0,125.2425690957526,10.0,0.7700152727365468,139.92182422314102,1.5,0.06204623109114168,103.77928751163981,1.0,0.3387048904985008,245.94190012949818,10.0,0.0013121381146679481,137.93544433376042,1.5,0.6144498014051569,4.5,3.5,3.5,16173549.279219175,0.009208997219434368,18261813.99654856,0.009208997219434368,18261813.99654856,0.009208997219434368,23845785.32902782,0.009208997219434368,76542962.60134411,0.03683598887773747
141,92.0,263.86177447154756,10.0,0.5619575888170886,340.75004738913543,1.0,0.7131849816641973,165.18377092200345,1.0,0.7067424588742965,306.2994595089172,1.0,0.12494344179852795,57.88793311512184,1.5,0.488667650226357,4.5,2.5,1.5,17316048.7194638,0.014675633523017812,22250134.82432841,0.014675633523017812,25530251.48548317,0.014675633523017812,17316048.7194638,0.014675633523017812,82412483.74873918,0.05870253409207125
157,89.0,143.58093036030942,1.0,0.5899425193768433,297.4925282518098,10.0,0.2782252412580134,251.4572604039502,10.0,0.9524541072566834,175.83142637766446,1.0,0.012641606575775741,281.2203098458924,10.0,0.9538542180929368,4.5,1.5,1.5,28796966.73558189,0.02225564830403664,42457365.11194483,0.02225564830403664,42457365.11194483,0.02225564830403664,42457365.11194483,0.02225564830403664,156169062.07141638,0.08902259321614656
167,122.0,51.422280199725094,1.0,0.8422466950296551,293.7607164760484,1.5,0.4455559354594422,287.94729325024264,1.0,0.5764896042063554,312.22834865505826,1.5,0.14088996861542474,312.83790553297,1.5,0.6485730926075318,1.5,1.5,1.5,20922114.254023626,0.012037670581974731,20922114.254023626,0.012037670581974731,20922114.254023626,0.012037670581974731,14190551.54794941,0.012037670581974731,76956894.31002028,0.048150682327898923
170,35.0,184.7843190193052,1.5,0.8092835524977917,109.7108159314422,10.0,0.1673656759460964,235.56307105916454,1.5,0.39167102587482544,154.4935024890616,10.0,0.13862261001573253,334.4044599254966,1.5,0.30268053428041064,2.5,2.5,3.5,15986082.36749114,0.010033149562775793,15986082.36749114,0.010033149562775793,14047426.788212687,0.010033149562775793,15986082.36749114,0.010033149562775793,62005673.89068611,0.04013259825110317
185,76.0,134.54941773053275,1.5,0.8350972847606575,116.75127748778557,1.0,0.7924896191590659,214.76637114098483,1.5,0.66836400868647,136.20168376094438,1.0,0.04253346027025372,71.67568219916869,10.0,0.8143136483483492,4.5,1.5,1.5,28799450.10169197,0.02293348713567804,42461026.51082096,0.02293348713567804,42461026.51082096,0.02293348713567804,37005650.53902248,0.02293348713567804,150727153.66235638,0.09173394854271216
186,80.0,255.92418316885232,1.0,0.5854084916741278,159.6579227623223,1.0,0.9010175821498511,142.97950645542758,10.0,0.9708661542506256,323.3957523194437,1.5,0.13411450077227735,302.6022045728268,1.0,0.4263730285289137,4.5,4.5,4.5,17379302.865751285,0.0148117846634597,17379302.865751285,0.0148117846634597,17379302.865751285,0.0148117846634597,19623249.717476703,0.0148117846634597,71761158.31473055,0.0592471386538388
198,45.0,107.63846743216787,1.5,0.8348145159803063,190.97554771422696,10.0,0.25792948033849405,233.0865050291544,1.0,0.7908474056476079,79.80972195868121,10.0,0.019261956832465385,276.6449441052226,1.5,0.5899312790656839,4.5,1.5,3.5,29264904.344765496,0.02273932221778359,43147277.98037795,0.02273932221778359,33043473.05248353,0.02273932221778359,29264904.344765496,0.02273932221778359,134720559.72239247,0.09095728887113436
202,60.0,117.25785850873557,10.0,0.5606054709323078,78.2915090213735,1.0,0.5161656898006186,275.3462392032035,1.0,0.4632302181687744,160.64141628335616,10.0,0.040759533410593206,121.71209324197605,1.0,0.23404932943193996,1.5,3.5,4.5,44663047.43520395,0.02382377932208377,34204294.53366938,0.02382377932208377,30292984.21864243,0.02382377932208377,30292984.21864243,0.02382377932208377,139453310.40615818,0.09529511728833508
210,101.0,78.25607651317847,1.0,0.9286142310359932,257.05802790970216,1.5,0.8997594196347071,211.2455195730492,10.0,0.3747278326132309,333.3557975007967,1.5,0.14283411843979216,326.96715767047885,10.0,0.5998473526572302,3.5,4.5,1.5,19702521.3199376,0.014750334863258994,17449509.6463639,0.014750334863258994,25727022.185453266,0.014750334863258994,19702521.3199376,0.014750334863258994,82581574.47169237,0.05900133945303598
222,130.0,115.77955455429823,10.0,0.4714705409389397,270.1213418298022,1.5,0.0799762433228229,312.29998104999106,10.0,0.5122728103671657,39.105579026347634,1.5,0.0333188623030871,291.83494580272577,1.0,0.2215064072342696,1.5,3.5,4.5,11772768.351674773,0.004831162781724136,9015937.319582647,0.004831162781724136,7984951.909168541,0.004831162781724136,7984951.909168541,0.004831162781724136,36758609.489594504,0.019324651126896544
