,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,A.4_Expected Annual Damage 0,A.4_Expected Number of Deaths 0,A.4_Expected Annual Damage 1,A.4_Expected Number of Deaths 1,A.4_Expected Annual Damage 2,A.4_Expected Number of Deaths 2,A.4_Expected Annual Damage 3,A.4_Expected Number of Deaths 3,Total Expected Annual Damage,Total Expected Number of Deaths
810,103.0,325.42439713197086,1.0,0.9396322883516676,124.38649909721642,10.0,0.010042959362451365,282.6548741810168,1.0,0.5921869879434517,181.924516929342,1.5,0.18597676444002967,63.31035329463087,1.0,0.3511604846316459,4.5,2.5,3.5,12973.706332221027,1.0499270620538913e-05,16670.472562178136,1.0499270620538913e-05,14648.819983457757,1.0499270620538913e-05,12973.706332221027,1.0499270620538913e-05,57266.705210077955,4.199708248215565e-05
812,85.0,308.22906597810857,1.5,0.7825581587471367,141.42516522557028,1.5,0.09224702022626663,336.54248915274934,1.0,0.9592067123216252,196.03145081020347,1.5,0.03147684304604152,158.83735059384324,10.0,0.1395505375735488,1.5,1.5,2.5,26900792.112955026,0.011350546085026924,26900792.112955026,0.011350546085026924,23444588.931480784,0.011350546085026924,23444588.931480784,0.011350546085026924,100690762.08887161,0.0454021843401077
813,33.0,272.72493957671384,10.0,0.5753085733139139,113.63695913171424,1.5,0.6614705587827769,120.16634162801155,1.5,0.8028105678894221,189.1885919997352,10.0,0.07817839408356883,61.27738550928746,1.0,0.020250455524938527,2.5,1.5,4.5,37000191.06295671,0.023943347054281448,42454762.19835553,0.023943347054281448,28795201.293570854,0.023943347054281448,28795201.293570854,0.023943347054281448,137045355.84845394,0.09577338821712579
822,50.0,131.05762698970975,1.0,0.5030928900164721,84.40893885202865,10.0,0.3908381143265532,198.51890744115192,1.0,0.6445727692865111,117.89067958345396,1.5,0.16690812789387566,48.62190561271912,1.5,0.7528954418960957,4.5,3.5,2.5,18534463.33499626,0.015864078609765464,20927559.93790693,0.015864078609765464,23815728.10179807,0.015864078609765464,23815728.10179807,0.015864078609765464,87093479.47649933,0.06345631443906186
823,51.0,65.74087584124156,1.0,0.8116169619737867,55.22361328006069,1.5,0.6995626758817443,189.39779578569141,1.0,0.7764979099505751,195.6390576974398,10.0,0.05317984718909783,65.05280836433876,10.0,0.8268743694738003,2.5,2.5,4.5,23055353.73104393,0.014498603345916322,23055353.73104393,0.014498603345916322,17942706.03766008,0.014498603345916322,26454175.828037515,0.014498603345916322,90507589.32778546,0.05799441338366529
845,105.0,125.76862743008327,10.0,0.5863348965513288,295.1195853958159,1.0,0.8243738600925273,205.7437738771091,1.0,0.3767996221148819,191.33771360070244,10.0,0.10724913407135564,338.8308478188097,1.5,0.2583437636842808,3.5,3.5,1.5,25834038.81095741,0.01907160258202658,25834038.81095741,0.01907160258202658,33733392.73876584,0.01907160258202658,25834038.81095741,0.01907160258202658,111235509.17163807,0.07628641032810632
860,8.0,96.73414512606486,10.0,0.7526031962274905,50.938180780286295,10.0,0.006508690409766846,91.12363165064843,1.5,0.8438162246856723,61.46684538091754,1.5,0.11260733355019555,317.64956067728406,1.0,0.6591165656891004,4.5,4.5,3.5,7535703.199454411,0.006302671766016677,7535703.199454411,0.006302671766016677,8508683.393227099,0.006302671766016677,11110409.823794302,0.006302671766016677,34690499.61593022,0.02521068706406671
883,40.0,177.71389981411883,1.0,0.7366357428108624,172.598761989056,10.0,0.7727525454779619,36.00241442022192,10.0,0.988600186941398,220.0046536702017,1.5,0.0032081788893539623,122.493069608206,1.0,0.8816341164361601,4.5,2.5,2.5,30329532.49486984,0.024131089083692984,38971719.13192677,0.024131089083692984,38971719.13192677,0.024131089083692984,34245561.77877661,0.024131089083692984,142518532.5375,0.09652435633477194
886,77.0,326.99480870010933,10.0,0.6058525824625551,102.81080370658731,1.0,0.6572632834646152,57.00317554544378,10.0,0.4038641276115247,127.45163700647615,1.5,0.1094787654893264,179.33255135695396,1.5,0.3175868639675103,4.5,1.5,4.5,19489247.03097824,0.016267903585062485,28734348.46624687,0.016267903585062485,19489247.03097824,0.016267903585062485,25042570.6862608,0.016267903585062485,92755413.21446414,0.06507161434024994
895,45.0,33.399237200526755,1.5,0.6663910265458101,189.73168752849233,1.0,0.18010384220559614,243.8037731596821,1.5,0.34195293203954724,109.51797517399064,10.0,0.10147687641134652,111.3945627246305,1.0,0.6983680197523799,4.5,2.5,2.5,18252341.39151831,0.014687829478066359,23453217.497850057,0.014687829478066359,23453217.497850057,0.014687829478066359,23453217.497850057,0.014687829478066359,88611993.88506849,0.058751317912265434
937,80.0,318.92238486882025,1.5,0.5552218423453789,99.7337609047303,1.0,0.4091408659704365,112.55921841793213,10.0,0.8378561441584709,251.14295027434414,10.0,0.09943650907598328,260.79664062149925,1.0,0.9003056628271443,1.5,3.5,3.5,28096796.71056649,0.015840128012059362,21517365.36865492,0.015840128012059362,21517365.36865492,0.015840128012059362,28096796.71056649,0.015840128012059362,99228324.15844283,0.06336051204823745
948,98.0,168.40290192750706,1.5,0.6461012862366341,158.84637873001037,1.5,0.4427099519527749,227.78517154274638,10.0,0.4143596765126441,46.93771001100419,10.0,0.041277721707604235,86.36681059104514,1.0,0.8539877836516168,4.5,1.5,4.5,30669162.2552624,0.02419383705353636,45217672.80233105,0.02419383705353636,30669162.2552624,0.02419383705353636,30669162.2552624,0.02419383705353636,137225159.56811824,0.09677534821414543
975,7.0,35.13130727870113,1.0,0.5180437225420684,260.51747157097776,1.5,0.18967092963299986,225.20799009655565,10.0,0.9011947475034928,310.98949813323776,10.0,0.05745501492766016,72.99469841359269,1.5,0.4601252300328182,4.5,4.5,4.5,23784660.31336404,0.018521789256141112,23784660.31336404,0.018521789256141112,23784660.31336404,0.018521789256141112,26855641.585847,0.018521789256141112,98209622.52593912,0.07408715702456445
998,72.0,47.82684845444385,10.0,0.8982418188655276,262.96427655189734,10.0,0.8324770783935304,312.8421158840957,1.0,0.5000480625154973,116.81964327436155,1.5,0.024248113807218925,343.06628854026934,1.5,0.18411496502297295,2.5,4.5,2.5,37585522.72884343,0.02279058254252719,29250732.5397212,0.02279058254252719,37585522.72884343,0.02279058254252719,43126383.50539434,0.02279058254252719,147548161.5028024,0.09116233017010876
